symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
EURUSDm,2024-01-31 00:00:00+00:00,1.08425,1.08871,1.07944,1.08035,84105,10,0,1d,2024-01-31 00:00:00.000
EURUSDm,2024-02-01 00:00:00+00:00,1.08037,1.08756,1.07794,1.08735,60882,10,0,1d,2024-02-01 00:00:00.000
EURUSDm,2024-02-02 00:00:00+00:00,1.08737,1.08971,1.07801,1.0787,54129,10,0,1d,2024-02-02 00:00:00.000
EURUSDm,2024-02-04 00:00:00+00:00,1.07824,1.07849,1.07686,1.07785,1543,40,0,1d,2024-02-04 00:00:00.000
EURUSDm,2024-02-05 00:00:00+00:00,1.07794,1.07855,1.07228,1.07405,45758,10,0,1d,2024-02-05 00:00:00.000
EURUSDm,2024-02-06 00:00:00+00:00,1.07405,1.07619,1.0722,1.07558,45601,10,0,1d,2024-02-06 00:00:00.000
EURUSDm,2024-02-07 00:00:00+00:00,1.07562,1.07835,1.07554,1.0775,44484,10,0,1d,2024-02-07 00:00:00.000
EURUSDm,2024-02-08 00:00:00+00:00,1.07752,1.07884,1.07413,1.07767,40921,10,0,1d,2024-02-08 00:00:00.000
EURUSDm,2024-02-09 00:00:00+00:00,1.07774,1.07947,1.07617,1.07851,41032,10,0,1d,2024-02-09 00:00:00.000
EURUSDm,2024-02-11 00:00:00+00:00,1.07816,1.07966,1.07804,1.07955,1381,40,0,1d,2024-02-11 00:00:00.000
EURUSDm,2024-02-12 00:00:00+00:00,1.07974,1.0805,1.07554,1.0771,35433,10,0,1d,2024-02-12 00:00:00.000
EURUSDm,2024-02-13 00:00:00+00:00,1.07712,1.0798,1.07001,1.0708,49028,10,0,1d,2024-02-13 00:00:00.000
EURUSDm,2024-02-14 00:00:00+00:00,1.07081,1.07339,1.06946,1.07311,42482,10,0,1d,2024-02-14 00:00:00.000
EURUSDm,2024-02-15 00:00:00+00:00,1.07317,1.07844,1.07242,1.07727,42200,10,0,1d,2024-02-15 00:00:00.000
EURUSDm,2024-02-16 00:00:00+00:00,1.07723,1.07869,1.07316,1.07767,42383,10,0,1d,2024-02-16 00:00:00.000
EURUSDm,2024-02-18 00:00:00+00:00,1.07734,1.07827,1.07669,1.07812,1176,40,0,1d,2024-02-18 00:00:00.000
EURUSDm,2024-02-19 00:00:00+00:00,1.07834,1.07889,1.07616,1.07754,26820,10,0,1d,2024-02-19 00:00:00.000
EURUSDm,2024-02-20 00:00:00+00:00,1.07751,1.08385,1.07614,1.08102,41648,10,0,1d,2024-02-20 00:00:00.000
EURUSDm,2024-02-21 00:00:00+00:00,1.08092,1.08239,1.07897,1.08198,42236,10,0,1d,2024-02-21 00:00:00.000
EURUSDm,2024-02-22 00:00:00+00:00,1.08197,1.08877,1.08024,1.08244,49238,10,0,1d,2024-02-22 00:00:00.000
EURUSDm,2024-02-23 00:00:00+00:00,1.08248,1.0839,1.08115,1.08205,38814,10,0,1d,2024-02-23 00:00:00.000
EURUSDm,2024-02-25 00:00:00+00:00,1.08252,1.08252,1.08151,1.08177,1315,40,0,1d,2024-02-25 00:00:00.000
EURUSDm,2024-02-26 00:00:00+00:00,1.08188,1.08594,1.08122,1.08497,35009,10,0,1d,2024-02-26 00:00:00.000
EURUSDm,2024-02-27 00:00:00+00:00,1.08499,1.08655,1.08326,1.0841,37076,10,0,1d,2024-02-27 00:00:00.000
EURUSDm,2024-02-28 00:00:00+00:00,1.08408,1.08453,1.0796,1.08376,39330,10,0,1d,2024-02-28 00:00:00.000
EURUSDm,2024-02-29 00:00:00+00:00,1.08378,1.08555,1.07955,1.08046,50906,10,0,1d,2024-02-29 00:00:00.000
EURUSDm,2024-03-01 00:00:00+00:00,1.08054,1.08427,1.07977,1.08389,41708,10,0,1d,2024-03-01 00:00:00.000
EURUSDm,2024-03-03 00:00:00+00:00,1.08341,1.0842,1.08337,1.08387,1291,40,0,1d,2024-03-03 00:00:00.000
EURUSDm,2024-03-04 00:00:00+00:00,1.08411,1.08664,1.08374,1.08541,35312,10,0,1d,2024-03-04 00:00:00.000
EURUSDm,2024-03-05 00:00:00+00:00,1.08537,1.08758,1.08398,1.08554,38025,10,0,1d,2024-03-05 00:00:00.000
EURUSDm,2024-03-06 00:00:00+00:00,1.08551,1.09148,1.08419,1.08979,43025,10,0,1d,2024-03-06 00:00:00.000
EURUSDm,2024-03-07 00:00:00+00:00,1.0899,1.09498,1.08676,1.09498,46447,10,0,1d,2024-03-07 00:00:00.000
EURUSDm,2024-03-08 00:00:00+00:00,1.09507,1.09807,1.09173,1.09379,48270,10,0,1d,2024-03-08 00:00:00.000
EURUSDm,2024-03-10 00:00:00+00:00,1.09329,1.09431,1.09329,1.09421,1987,10,0,1d,2024-03-10 00:00:00.000
EURUSDm,2024-03-11 00:00:00+00:00,1.09422,1.09477,1.09141,1.09302,35221,10,0,1d,2024-03-11 00:00:00.000
EURUSDm,2024-03-12 00:00:00+00:00,1.09301,1.09435,1.09016,1.09264,41801,10,0,1d,2024-03-12 00:00:00.000
EURUSDm,2024-03-13 00:00:00+00:00,1.09262,1.09634,1.09197,1.09525,34376,10,0,1d,2024-03-13 00:00:00.000
EURUSDm,2024-03-14 00:00:00+00:00,1.09526,1.09542,1.08799,1.08825,38168,10,0,1d,2024-03-14 00:00:00.000
EURUSDm,2024-03-15 00:00:00+00:00,1.08823,1.08992,1.08723,1.08866,30868,10,0,1d,2024-03-15 00:00:00.000
EURUSDm,2024-03-17 00:00:00+00:00,1.08879,1.08898,1.08797,1.08826,1863,10,0,1d,2024-03-17 00:00:00.000
EURUSDm,2024-03-18 00:00:00+00:00,1.0883,1.09055,1.08657,1.0873,27755,10,0,1d,2024-03-18 00:00:00.000
EURUSDm,2024-03-19 00:00:00+00:00,1.0873,1.08761,1.08343,1.08616,34197,10,0,1d,2024-03-19 00:00:00.000
EURUSDm,2024-03-20 00:00:00+00:00,1.08614,1.09367,1.08361,1.09366,42868,10,0,1d,2024-03-20 00:00:00.000
EURUSDm,2024-03-21 00:00:00+00:00,1.09367,1.09421,1.0855,1.08615,40480,10,0,1d,2024-03-21 00:00:00.000
EURUSDm,2024-03-22 00:00:00+00:00,1.08614,1.08674,1.08013,1.08082,30113,10,0,1d,2024-03-22 00:00:00.000
EURUSDm,2024-03-24 00:00:00+00:00,1.08067,1.08096,1.08028,1.08069,1332,10,0,1d,2024-03-24 00:00:00.000
EURUSDm,2024-03-25 00:00:00+00:00,1.0807,1.08419,1.08018,1.08364,25276,10,0,1d,2024-03-25 00:00:00.000
EURUSDm,2024-03-26 00:00:00+00:00,1.08366,1.08638,1.08238,1.08316,28776,10,0,1d,2024-03-26 00:00:00.000
EURUSDm,2024-03-27 00:00:00+00:00,1.08321,1.08385,1.08071,1.0812,29641,10,0,1d,2024-03-27 00:00:00.000
EURUSDm,2024-03-28 00:00:00+00:00,1.08122,1.08261,1.07747,1.07903,36188,10,0,1d,2024-03-28 00:00:00.000
EURUSDm,2024-03-29 00:00:00+00:00,1.07903,1.0802,1.07631,1.07743,19289,10,0,1d,2024-03-29 00:00:00.000
EURUSDm,2024-03-31 00:00:00+00:00,1.07887,1.07942,1.07832,1.07913,2284,10,0,1d,2024-03-31 00:00:00.000
EURUSDm,2024-04-01 00:00:00+00:00,1.07927,1.07984,1.07307,1.07364,27327,10,0,1d,2024-04-01 00:00:00.000
EURUSDm,2024-04-02 00:00:00+00:00,1.0737,1.07785,1.07241,1.07678,32180,10,0,1d,2024-04-02 00:00:00.000
EURUSDm,2024-04-03 00:00:00+00:00,1.07677,1.08403,1.07635,1.08372,33202,10,0,1d,2024-04-03 00:00:00.000
EURUSDm,2024-04-04 00:00:00+00:00,1.08372,1.08761,1.08316,1.08357,31886,10,0,1d,2024-04-04 00:00:00.000
EURUSDm,2024-04-05 00:00:00+00:00,1.08361,1.08475,1.0791,1.08366,35638,10,0,1d,2024-04-05 00:00:00.000
EURUSDm,2024-04-07 00:00:00+00:00,1.08362,1.08369,1.08255,1.0829,1664,10,0,1d,2024-04-07 00:00:00.000
EURUSDm,2024-04-08 00:00:00+00:00,1.08295,1.0863,1.08204,1.08612,33086,10,0,1d,2024-04-08 00:00:00.000
EURUSDm,2024-04-09 00:00:00+00:00,1.08616,1.08845,1.08472,1.0858,30849,10,0,1d,2024-04-09 00:00:00.000
EURUSDm,2024-04-10 00:00:00+00:00,1.08583,1.0866,1.07283,1.0741,49244,10,0,1d,2024-04-10 00:00:00.000
EURUSDm,2024-04-11 00:00:00+00:00,1.07409,1.07559,1.06988,1.07258,47550,10,0,1d,2024-04-11 00:00:00.000
EURUSDm,2024-04-12 00:00:00+00:00,1.07258,1.07278,1.06221,1.06403,42475,10,0,1d,2024-04-12 00:00:00.000
EURUSDm,2024-04-14 00:00:00+00:00,1.06289,1.06496,1.06266,1.06468,2680,10,0,1d,2024-04-14 00:00:00.000
EURUSDm,2024-04-15 00:00:00+00:00,1.06459,1.06647,1.06197,1.06244,46370,10,0,1d,2024-04-15 00:00:00.000
EURUSDm,2024-04-16 00:00:00+00:00,1.06245,1.06531,1.06005,1.062,53858,10,0,1d,2024-04-16 00:00:00.000
EURUSDm,2024-04-17 00:00:00+00:00,1.06207,1.06791,1.06056,1.0668,46217,10,0,1d,2024-04-17 00:00:00.000
EURUSDm,2024-04-18 00:00:00+00:00,1.06685,1.06897,1.06397,1.06427,39696,10,0,1d,2024-04-18 00:00:00.000
EURUSDm,2024-04-19 00:00:00+00:00,1.0642,1.06774,1.06099,1.06561,54990,10,0,1d,2024-04-19 00:00:00.000
EURUSDm,2024-04-21 00:00:00+00:00,1.06524,1.06608,1.0648,1.06571,1755,10,0,1d,2024-04-21 00:00:00.000
EURUSDm,2024-04-22 00:00:00+00:00,1.06571,1.067,1.06236,1.06533,34487,10,0,1d,2024-04-22 00:00:00.000
EURUSDm,2024-04-23 00:00:00+00:00,1.06533,1.07108,1.06381,1.07018,41254,10,0,1d,2024-04-23 00:00:00.000
EURUSDm,2024-04-24 00:00:00+00:00,1.07018,1.07138,1.06775,1.06995,34499,10,0,1d,2024-04-24 00:00:00.000
EURUSDm,2024-04-25 00:00:00+00:00,1.06998,1.07396,1.0678,1.07264,43225,10,0,1d,2024-04-25 00:00:00.000
EURUSDm,2024-04-26 00:00:00+00:00,1.07264,1.07524,1.06734,1.06925,39447,10,0,1d,2024-04-26 00:00:00.000
EURUSDm,2024-04-28 00:00:00+00:00,1.06899,1.07067,1.06874,1.07066,1834,10,0,1d,2024-04-28 00:00:00.000
EURUSDm,2024-04-29 00:00:00+00:00,1.07066,1.07331,1.06897,1.07144,43597,10,0,1d,2024-04-29 00:00:00.000
EURUSDm,2024-04-30 00:00:00+00:00,1.07144,1.07347,1.06575,1.06656,43994,10,0,1d,2024-04-30 00:00:00.000
EURUSDm,2024-05-01 00:00:00+00:00,1.06658,1.07322,1.06491,1.07166,50966,10,0,1d,2024-05-01 00:00:00.000
EURUSDm,2024-05-02 00:00:00+00:00,1.07166,1.07304,1.06738,1.07293,42995,10,0,1d,2024-05-02 00:00:00.000
EURUSDm,2024-05-03 00:00:00+00:00,1.07296,1.08115,1.07238,1.07623,48365,10,0,1d,2024-05-03 00:00:00.000
EURUSDm,2024-05-05 00:00:00+00:00,1.07608,1.07644,1.0757,1.0758,1469,10,0,1d,2024-05-05 00:00:00.000
EURUSDm,2024-05-06 00:00:00+00:00,1.07579,1.07902,1.07549,1.0767,28825,10,0,1d,2024-05-06 00:00:00.000
EURUSDm,2024-05-07 00:00:00+00:00,1.07669,1.07869,1.07471,1.07495,33839,10,0,1d,2024-05-07 00:00:00.000
EURUSDm,2024-05-08 00:00:00+00:00,1.07493,1.07569,1.07344,1.07465,29221,10,0,1d,2024-05-08 00:00:00.000
EURUSDm,2024-05-09 00:00:00+00:00,1.07465,1.07851,1.07234,1.07811,31863,10,0,1d,2024-05-09 00:00:00.000
EURUSDm,2024-05-10 00:00:00+00:00,1.07811,1.07894,1.07598,1.07703,29281,10,0,1d,2024-05-10 00:00:00.000
EURUSDm,2024-05-12 00:00:00+00:00,1.07703,1.07747,1.07654,1.07696,1548,10,0,1d,2024-05-12 00:00:00.000
EURUSDm,2024-05-13 00:00:00+00:00,1.07696,1.08063,1.07654,1.07916,26844,10,0,1d,2024-05-13 00:00:00.000
EURUSDm,2024-05-14 00:00:00+00:00,1.07916,1.08251,1.07668,1.08133,31803,10,0,1d,2024-05-14 00:00:00.000
EURUSDm,2024-05-15 00:00:00+00:00,1.08132,1.08898,1.08127,1.08878,38827,10,0,1d,2024-05-15 00:00:00.000
EURUSDm,2024-05-16 00:00:00+00:00,1.08878,1.08946,1.08539,1.08674,31323,10,0,1d,2024-05-16 00:00:00.000
EURUSDm,2024-05-17 00:00:00+00:00,1.08674,1.08779,1.08353,1.08686,25487,10,0,1d,2024-05-17 00:00:00.000
EURUSDm,2024-05-19 00:00:00+00:00,1.08672,1.08738,1.08651,1.08717,1234,10,0,1d,2024-05-19 00:00:00.000
EURUSDm,2024-05-20 00:00:00+00:00,1.08717,1.08839,1.08536,1.086,25689,10,0,1d,2024-05-20 00:00:00.000
EURUSDm,2024-05-21 00:00:00+00:00,1.086,1.08743,1.08421,1.08535,30836,10,0,1d,2024-05-21 00:00:00.000
EURUSDm,2024-05-22 00:00:00+00:00,1.08535,1.08631,1.0817,1.08246,32954,10,0,1d,2024-05-22 00:00:00.000
EURUSDm,2024-05-23 00:00:00+00:00,1.08246,1.08603,1.08043,1.08112,39324,10,0,1d,2024-05-23 00:00:00.000
EURUSDm,2024-05-24 00:00:00+00:00,1.08112,1.08573,1.08051,1.08456,27774,10,0,1d,2024-05-24 00:00:00.000
EURUSDm,2024-05-26 00:00:00+00:00,1.08472,1.085,1.08403,1.08462,1492,10,0,1d,2024-05-26 00:00:00.000
EURUSDm,2024-05-27 00:00:00+00:00,1.08462,1.08669,1.08403,1.08608,20589,10,0,1d,2024-05-27 00:00:00.000
EURUSDm,2024-05-28 00:00:00+00:00,1.0861,1.08885,1.08508,1.08509,32297,10,0,1d,2024-05-28 00:00:00.000
EURUSDm,2024-05-29 00:00:00+00:00,1.08509,1.08583,1.07947,1.08009,36130,10,0,1d,2024-05-29 00:00:00.000
EURUSDm,2024-05-30 00:00:00+00:00,1.08008,1.08447,1.07878,1.08309,35616,10,0,1d,2024-05-30 00:00:00.000
EURUSDm,2024-05-31 00:00:00+00:00,1.0831,1.0882,1.08107,1.0848,37984,10,0,1d,2024-05-31 00:00:00.000
EURUSDm,2024-06-02 00:00:00+00:00,1.0846,1.08526,1.08448,1.08524,1667,10,0,1d,2024-06-02 00:00:00.000
EURUSDm,2024-06-03 00:00:00+00:00,1.08522,1.09091,1.08274,1.09066,36243,10,0,1d,2024-06-03 00:00:00.000
EURUSDm,2024-06-04 00:00:00+00:00,1.09066,1.09154,1.08585,1.08814,39130,10,0,1d,2024-06-04 00:00:00.000
EURUSDm,2024-06-05 00:00:00+00:00,1.08814,1.08911,1.08541,1.08736,34917,10,0,1d,2024-06-05 00:00:00.000
EURUSDm,2024-06-06 00:00:00+00:00,1.08736,1.09015,1.08616,1.08911,34811,10,0,1d,2024-06-06 00:00:00.000
EURUSDm,2024-06-07 00:00:00+00:00,1.08909,1.09016,1.0799,1.0801,39404,10,0,1d,2024-06-07 00:00:00.000
EURUSDm,2024-06-09 00:00:00+00:00,1.07621,1.07794,1.07553,1.07784,2520,10,0,1d,2024-06-09 00:00:00.000
EURUSDm,2024-06-10 00:00:00+00:00,1.07782,1.0781,1.07322,1.07628,34620,10,0,1d,2024-06-10 00:00:00.000
EURUSDm,2024-06-11 00:00:00+00:00,1.07628,1.07731,1.07189,1.07396,34661,10,0,1d,2024-06-11 00:00:00.000
EURUSDm,2024-06-12 00:00:00+00:00,1.07393,1.08518,1.07342,1.08124,53543,10,0,1d,2024-06-12 00:00:00.000
EURUSDm,2024-06-13 00:00:00+00:00,1.08124,1.08158,1.07322,1.07372,40024,10,0,1d,2024-06-13 00:00:00.000
EURUSDm,2024-06-14 00:00:00+00:00,1.07372,1.07445,1.06671,1.07016,43251,10,0,1d,2024-06-14 00:00:00.000
EURUSDm,2024-06-16 00:00:00+00:00,1.07009,1.07072,1.06977,1.07022,1782,10,0,1d,2024-06-16 00:00:00.000
EURUSDm,2024-06-17 00:00:00+00:00,1.07022,1.07405,1.0686,1.07394,38315,10,0,1d,2024-06-17 00:00:00.000
EURUSDm,2024-06-18 00:00:00+00:00,1.07395,1.07609,1.07095,1.0738,38753,10,0,1d,2024-06-18 00:00:00.000
EURUSDm,2024-06-19 00:00:00+00:00,1.07383,1.07528,1.07243,1.07466,26179,10,0,1d,2024-06-19 00:00:00.000
EURUSDm,2024-06-20 00:00:00+00:00,1.07468,1.0748,1.06977,1.07057,35752,10,0,1d,2024-06-20 00:00:00.000
EURUSDm,2024-06-21 00:00:00+00:00,1.07057,1.07202,1.06706,1.06918,36407,10,0,1d,2024-06-21 00:00:00.000
EURUSDm,2024-06-23 00:00:00+00:00,1.06875,1.06952,1.06845,1.06874,1637,10,0,1d,2024-06-23 00:00:00.000
EURUSDm,2024-06-24 00:00:00+00:00,1.06874,1.07458,1.06834,1.07317,32568,10,0,1d,2024-06-24 00:00:00.000
EURUSDm,2024-06-25 00:00:00+00:00,1.07315,1.07436,1.06901,1.07088,31396,10,0,1d,2024-06-25 00:00:00.000
EURUSDm,2024-06-26 00:00:00+00:00,1.07087,1.07174,1.06655,1.06795,35535,10,0,1d,2024-06-26 00:00:00.000
EURUSDm,2024-06-27 00:00:00+00:00,1.06795,1.07259,1.06766,1.07072,36737,10,0,1d,2024-06-27 00:00:00.000
EURUSDm,2024-06-28 00:00:00+00:00,1.07071,1.07242,1.0685,1.07131,39847,10,0,1d,2024-06-28 00:00:00.000
EURUSDm,2024-06-30 00:00:00+00:00,1.07347,1.07405,1.07301,1.07344,2644,10,0,1d,2024-06-30 00:00:00.000
EURUSDm,2024-07-01 00:00:00+00:00,1.07345,1.07759,1.07191,1.07359,40507,10,0,1d,2024-07-01 00:00:00.000
EURUSDm,2024-07-02 00:00:00+00:00,1.0736,1.07487,1.07096,1.07475,34300,10,0,1d,2024-07-02 00:00:00.000
EURUSDm,2024-07-03 00:00:00+00:00,1.07476,1.08163,1.07357,1.07904,32646,10,0,1d,2024-07-03 00:00:00.000
EURUSDm,2024-07-04 00:00:00+00:00,1.07905,1.08133,1.07832,1.081,22525,10,0,1d,2024-07-04 00:00:00.000
EURUSDm,2024-07-05 00:00:00+00:00,1.08101,1.08421,1.08012,1.0839,34793,10,0,1d,2024-07-05 00:00:00.000
EURUSDm,2024-07-07 00:00:00+00:00,1.08009,1.08316,1.07989,1.08252,2677,10,0,1d,2024-07-07 00:00:00.000
EURUSDm,2024-07-08 00:00:00+00:00,1.08252,1.08448,1.08143,1.083,32355,10,0,1d,2024-07-08 00:00:00.000
EURUSDm,2024-07-09 00:00:00+00:00,1.083,1.08328,1.08052,1.08139,31361,10,0,1d,2024-07-09 00:00:00.000
EURUSDm,2024-07-10 00:00:00+00:00,1.08139,1.08362,1.08102,1.08327,28193,10,0,1d,2024-07-10 00:00:00.000
EURUSDm,2024-07-11 00:00:00+00:00,1.08327,1.08994,1.08317,1.08734,44412,10,0,1d,2024-07-11 00:00:00.000
EURUSDm,2024-07-12 00:00:00+00:00,1.08734,1.09108,1.08614,1.0906,36040,10,0,1d,2024-07-12 00:00:00.000
EURUSDm,2024-07-14 00:00:00+00:00,1.08852,1.08917,1.08799,1.08855,2506,3,0,1d,2024-07-14 00:00:00.000
EURUSDm,2024-07-15 00:00:00+00:00,1.08855,1.0922,1.08831,1.08978,35357,7,0,1d,2024-07-15 00:00:00.000
EURUSDm,2024-07-16 00:00:00+00:00,1.08979,1.0905,1.08713,1.09018,35108,10,0,1d,2024-07-16 00:00:00.000
EURUSDm,2024-07-17 00:00:00+00:00,1.09018,1.09477,1.08948,1.09396,40752,10,0,1d,2024-07-17 00:00:00.000
EURUSDm,2024-07-18 00:00:00+00:00,1.09396,1.09402,1.08925,1.08996,36644,10,0,1d,2024-07-18 00:00:00.000
EURUSDm,2024-07-19 00:00:00+00:00,1.08996,1.08997,1.08753,1.08827,34096,10,0,1d,2024-07-19 00:00:00.000
EURUSDm,2024-07-21 00:00:00+00:00,1.08807,1.09022,1.08807,1.08983,3007,10,0,1d,2024-07-21 00:00:00.000
EURUSDm,2024-07-22 00:00:00+00:00,1.08983,1.08992,1.08726,1.08883,31790,10,0,1d,2024-07-22 00:00:00.000
EURUSDm,2024-07-23 00:00:00+00:00,1.08883,1.0896,1.08434,1.08493,30725,10,0,1d,2024-07-23 00:00:00.000
EURUSDm,2024-07-24 00:00:00+00:00,1.08493,1.0866,1.08254,1.08376,35011,10,0,1d,2024-07-24 00:00:00.000
EURUSDm,2024-07-25 00:00:00+00:00,1.08375,1.08695,1.08279,1.08508,43685,10,0,1d,2024-07-25 00:00:00.000
EURUSDm,2024-07-26 00:00:00+00:00,1.08508,1.08676,1.08417,1.08551,29709,10,0,1d,2024-07-26 00:00:00.000
EURUSDm,2024-07-28 00:00:00+00:00,1.08563,1.08596,1.08524,1.08525,1864,10,0,1d,2024-07-28 00:00:00.000
EURUSDm,2024-07-29 00:00:00+00:00,1.08525,1.08694,1.08021,1.08188,28636,10,0,1d,2024-07-29 00:00:00.000
EURUSDm,2024-07-30 00:00:00+00:00,1.08188,1.08353,1.07976,1.08153,31396,10,0,1d,2024-07-30 00:00:00.000
EURUSDm,2024-07-31 00:00:00+00:00,1.08153,1.08488,1.08015,1.08235,46319,10,0,1d,2024-07-31 00:00:00.000
EURUSDm,2024-08-01 00:00:00+00:00,1.08235,1.08348,1.07767,1.07861,45342,10,0,1d,2024-08-01 00:00:00.000
EURUSDm,2024-08-02 00:00:00+00:00,1.0786,1.09261,1.07815,1.09103,52900,8,0,1d,2024-08-02 00:00:00.000
EURUSDm,2024-08-04 00:00:00+00:00,1.09164,1.09207,1.09012,1.09099,3981,10,0,1d,2024-08-04 00:00:00.000
EURUSDm,2024-08-05 00:00:00+00:00,1.091,1.10083,1.08922,1.09501,99866,8,0,1d,2024-08-05 00:00:00.000
EURUSDm,2024-08-06 00:00:00+00:00,1.09501,1.09625,1.09034,1.09255,59886,10,0,1d,2024-08-06 00:00:00.000
EURUSDm,2024-08-07 00:00:00+00:00,1.09255,1.09362,1.0905,1.09271,46815,10,0,1d,2024-08-07 00:00:00.000
EURUSDm,2024-08-08 00:00:00+00:00,1.09274,1.09447,1.08811,1.09142,44977,8,0,1d,2024-08-08 00:00:00.000
EURUSDm,2024-08-09 00:00:00+00:00,1.09143,1.0931,1.09085,1.0915,30134,10,0,1d,2024-08-09 00:00:00.000
EURUSDm,2024-08-11 00:00:00+00:00,1.09133,1.09186,1.09095,1.09122,1812,10,0,1d,2024-08-11 00:00:00.000
EURUSDm,2024-08-12 00:00:00+00:00,1.09122,1.09223,1.09114,1.09204,3974,10,0,1d,2024-08-12 00:00:00.000
EURUSDm,2021-06-01 00:00:00+00:00,1.22322,1.22539,1.22093,1.2217,38664,0,0,1d,2021-06-01 00:00:00.000
EURUSDm,2021-06-02 00:00:00+00:00,1.22171,1.22261,1.21637,1.22091,37576,0,0,1d,2021-06-02 00:00:00.000
EURUSDm,2021-06-03 00:00:00+00:00,1.2209,1.22137,1.21178,1.21296,44384,0,0,1d,2021-06-03 00:00:00.000
EURUSDm,2021-06-04 00:00:00+00:00,1.21297,1.21851,1.21035,1.21664,43885,0,0,1d,2021-06-04 00:00:00.000
EURUSDm,2021-06-06 00:00:00+00:00,1.2159,1.21672,1.2157,1.21662,668,0,0,1d,2021-06-06 00:00:00.000
EURUSDm,2021-06-07 00:00:00+00:00,1.21663,1.22014,1.21445,1.21902,29885,0,0,1d,2021-06-07 00:00:00.000
EURUSDm,2021-06-08 00:00:00+00:00,1.21901,1.21937,1.21639,1.21721,35963,0,0,1d,2021-06-08 00:00:00.000
EURUSDm,2021-06-09 00:00:00+00:00,1.21721,1.22176,1.21709,1.2178,28471,0,0,1d,2021-06-09 00:00:00.000
EURUSDm,2021-06-10 00:00:00+00:00,1.21781,1.21942,1.21429,1.21723,51593,0,0,1d,2021-06-10 00:00:00.000
EURUSDm,2021-06-11 00:00:00+00:00,1.21721,1.21926,1.20924,1.21072,34859,0,0,1d,2021-06-11 00:00:00.000
EURUSDm,2021-06-13 00:00:00+00:00,1.21027,1.21109,1.20998,1.21092,1137,0,0,1d,2021-06-13 00:00:00.000
EURUSDm,2021-06-14 00:00:00+00:00,1.21093,1.213,1.20938,1.21214,30067,0,0,1d,2021-06-14 00:00:00.000
EURUSDm,2021-06-15 00:00:00+00:00,1.21215,1.21468,1.21009,1.21242,33541,0,0,1d,2021-06-15 00:00:00.000
EURUSDm,2021-06-16 00:00:00+00:00,1.21243,1.21343,1.19863,1.19946,57016,0,0,1d,2021-06-16 00:00:00.000
EURUSDm,2021-06-17 00:00:00+00:00,1.19947,1.20059,1.18914,1.19125,67072,0,0,1d,2021-06-17 00:00:00.000
EURUSDm,2021-06-18 00:00:00+00:00,1.19127,1.19246,1.18468,1.18616,67636,0,0,1d,2021-06-18 00:00:00.000
EURUSDm,2021-06-20 00:00:00+00:00,1.18541,1.1875,1.18535,1.18701,1390,0,0,1d,2021-06-20 00:00:00.000
EURUSDm,2021-06-21 00:00:00+00:00,1.18702,1.19209,1.18472,1.19115,56583,0,0,1d,2021-06-21 00:00:00.000
EURUSDm,2021-06-22 00:00:00+00:00,1.19116,1.19522,1.18805,1.19359,48550,0,0,1d,2021-06-22 00:00:00.000
EURUSDm,2021-06-23 00:00:00+00:00,1.1936,1.19696,1.19112,1.19293,45057,0,0,1d,2021-06-23 00:00:00.000
EURUSDm,2021-06-24 00:00:00+00:00,1.19292,1.19559,1.19172,1.19275,41666,0,0,1d,2021-06-24 00:00:00.000
EURUSDm,2021-06-25 00:00:00+00:00,1.19276,1.19747,1.19258,1.1935,37345,0,0,1d,2021-06-25 00:00:00.000
EURUSDm,2021-06-27 00:00:00+00:00,1.19311,1.19415,1.19303,1.19412,854,0,0,1d,2021-06-27 00:00:00.000
EURUSDm,2021-06-28 00:00:00+00:00,1.19413,1.19442,1.19019,1.19282,39667,0,0,1d,2021-06-28 00:00:00.000
EURUSDm,2021-06-29 00:00:00+00:00,1.19283,1.19294,1.18773,1.18999,39747,0,0,1d,2021-06-29 00:00:00.000
EURUSDm,2021-06-30 00:00:00+00:00,1.19,1.19086,1.18447,1.18556,45034,0,0,1d,2021-06-30 00:00:00.000
EURUSDm,2021-07-01 00:00:00+00:00,1.18557,1.18839,1.1837,1.18452,44144,0,0,1d,2021-07-01 00:00:00.000
EURUSDm,2021-07-02 00:00:00+00:00,1.18451,1.18738,1.18066,1.18645,48361,0,0,1d,2021-07-02 00:00:00.000
EURUSDm,2021-07-04 00:00:00+00:00,1.18585,1.18643,1.18553,1.18553,970,0,0,1d,2021-07-04 00:00:00.000
EURUSDm,2021-07-05 00:00:00+00:00,1.18554,1.188,1.18509,1.18622,25936,0,0,1d,2021-07-05 00:00:00.000
EURUSDm,2021-07-06 00:00:00+00:00,1.18623,1.18947,1.18068,1.18219,53906,0,0,1d,2021-07-06 00:00:00.000
EURUSDm,2021-07-07 00:00:00+00:00,1.1822,1.18357,1.17809,1.17926,50530,0,0,1d,2021-07-07 00:00:00.000
EURUSDm,2021-07-08 00:00:00+00:00,1.17927,1.18674,1.17832,1.18459,60764,0,0,1d,2021-07-08 00:00:00.000
EURUSDm,2021-07-09 00:00:00+00:00,1.18461,1.18808,1.18246,1.1877,41221,0,0,1d,2021-07-09 00:00:00.000
EURUSDm,2021-07-11 00:00:00+00:00,1.18719,1.18757,1.18643,1.18719,1401,0,0,1d,2021-07-11 00:00:00.000
